,time,x,y,goalx,goaly,yaw,steer,throttle
70,14.040462970733643,-7.174851687717933,7.150667248964443,-9.3,7.8,-2.763169068934917,-0.6074654349608144,0.7
71,14.253421783447266,-7.217033403168853,7.147036194570722,-9.3,7.8,-2.7643684277261107,-0.6128996954345051,0.7
72,14.455257892608643,-7.2579589948966445,7.146897559174713,-9.3,7.8,-2.766858628488597,-0.6158530647773027,0.7
73,14.656972646713257,-7.3045937433228705,7.144793192845346,-9.3,7.8,-2.7694199412541436,-0.6204945970105096,0.7
74,14.858503103256226,-7.326819940895879,7.139302277058203,-9.3,7.8,-2.771064928482462,-0.6242695250832514,0.7
75,15.070446491241455,-7.397532277046837,7.127893286945937,-9.3,7.8,-2.7787849480452356,-0.6321626485958081,0.7
76,15.272303581237793,-7.44637548025868,7.121932161320332,-9.3,7.8,-2.7826771473969356,-0.6386416506779092,0.7
77,15.474032640457153,-7.499362736142064,7.1102594670757675,-9.3,7.8,-2.788891775172707,-0.6466621061257444,0.7
78,15.675681829452515,-7.554219798045898,7.105649072394124,-9.3,7.8,-2.7948537104531086,-0.6527589908142213,0.7
79,15.887692213058472,-7.613723296424785,7.09950357667025,-9.3,7.8,-2.8006782627426006,-0.6611709365875277,0.7
80,16.089433193206787,-7.663581320061857,7.096401299867377,-9.3,7.8,-2.803571230080708,-0.6696790653711276,0.7
81,16.291268587112427,-7.702112266216105,7.087448994200965,-9.3,7.8,-2.8075415048914207,-0.6781660941623203,0.7
82,16.492881298065186,-7.761244167828961,7.082675748984059,-9.3,7.8,-2.8122643653538124,-0.6889939459756297,0.7
83,16.7050142288208,-7.775917553403482,7.072440530699859,-9.3,7.8,-2.815889233062602,-0.6939792774557832,0.7
84,16.90715742111206,-7.7950499748992375,7.057242575892087,-9.3,7.8,-2.818784635492277,-0.7031489667720043,0.7
85,17.10833168029785,-7.820477887725512,7.040623311550436,-9.3,7.8,-2.821322168250074,-0.715021398285487,0.7
86,17.310017108917236,-7.82134646241082,7.005410340840023,-9.3,7.8,-2.8235988938190126,-0.729982343843778,0.7
87,17.522250413894653,-7.831748452956745,6.96966401458317,-9.3,7.8,-2.8294043012910453,-0.7441868954191071,0.7
88,17.723862171173096,-7.85119527946984,6.964059767124816,-9.3,7.8,-2.832257310365129,-0.7493948761194918,0.7
89,17.925682306289673,-7.876379603199304,6.96012384376725,-9.3,7.8,-2.838931288024547,-0.752097847941966,0.7
90,18.12769389152527,-7.88873876934725,6.950945649653171,-9.3,7.8,-2.840793371654677,-0.7581735200127918,0.7
91,18.329460859298706,-7.938648883764351,6.950247237338901,-9.3,7.8,-2.8462256458778494,-0.7680505128866194,0.7
92,18.5410099029541,-7.980776479145457,6.952147382950583,-9.3,7.8,-2.8495276353483203,-0.7769562112947153,0.7
93,18.742384672164917,-8.018086588712098,6.95847847568468,-9.3,7.8,-2.851111923518661,-0.7842438235950404,0.7
94,18.94394850730896,-8.062517193138296,6.971003020903294,-9.3,7.8,-2.855499879661344,-0.7887010877021797,0.7
95,19.155805826187134,-8.096133634453315,6.978485767428303,-9.3,7.8,-2.857161217428362,-0.7949205314155416,0.7
96,19.357423305511475,-8.156401683834558,6.986636822393836,-9.3,7.8,-2.860627678243791,-0.809270254571,0.7
